METRO_CODE,METRO_NAME,MLS_CODE,MLS_SHORT_NAME,MLS_LONG_NAME,NUM_LISTINGS
danville-ky,"Danville, KY",KY_MCBR,KY_MCBR,Madison County Board of REALTORS,17
danville-ky,"Danville, KY",KY_MSMLS,KY_MSMLS,Greater Louisville Association of REALTORS,1
danville-ky,"Danville, KY",KY_SLCBR,KY_SLCBR,Somerset-Lake Cumberland Board of Realtors,12
danville-va,"Danville, VA",CHARLOTTESVILLE,CAAR,Charlottesville Area Association of Realtors,1
danville-va,"Danville, VA",MRIS,MRIS,"Metropolitan Regional Information Systems, Inc.",1
danville-va,"Danville, VA",RV,"CVR MLS, CBRAR, and WMLS","Central Virginia Regional MLS, Chesapeake Bay & Rivers MLS, and Williamsburg MLS",8
danville-va,"Danville, VA",VA_DRRAR,VA_DRRAR,Dan River Region Association of REALTORS,799
danville-va,"Danville, VA",VA_LAR,VA_LAR,Lynchburg Association of Realtors,148
danville-va,"Danville, VA",VA_NRVAR,VA_NRVAR,New River Valley Association of REALTORS,2
danville-va,"Danville, VA",VA_RVAR,VA_RVAR,Roanoke Valley Association of Realtors,89
danville-va,"Danville, VA",VA_SPLLAR,VA_SPLLAR,Southern Piedmont Land & Lake Association of Realtors,2
dawson-county-ne,"Dawson County, NE",NE_BCBR,NE_BCBR,Buffalo County Board of REALTORS,1
dawson-county-ne,"Dawson County, NE",NE_LCBR,NE_LCBR,Lincoln County Board of REALTORS,1
dayton-oh,"Dayton, OH",IN_RAR,IN_RAR,Richmond Association of REALTORS,56
dayton-oh,"Dayton, OH",OH_CBR,OH_CBR,Columbus and Central Ohio Regional MLS,6
dayton-oh,"Dayton, OH",OH_CINCY,OH_CINCY,"MLS of Greater Cincinnati, Inc.",493
dayton-oh,"Dayton, OH",OH_DABR,OH_DABR,Dayton Area Board of Realtors,3764
dayton-oh,"Dayton, OH",OH_NORMLS,OH_NORMLS,"Northern Ohio Regional Multiple Listing Service, Inc.",7
dayton-oh,"Dayton, OH",OH_TBR,OH_TBR,Toledo Board of REALTORS,9
dayton-oh,"Dayton, OH",OH_WRIST,OH_WRIST,"Western Regional Information Systems and Technology, Inc.",567
dayton-tn,"Dayton, TN",TN_CAR,TN_CAR,Greater Chattanooga Association of Realtors,857
dayton-tn,"Dayton, TN",TN_KAAR,TN_KAAR,Knoxville Area Association of REALTORS,708
dayton-tn,"Dayton, TN",TN_RCAR,TN_RCAR,River Counties Association of Realtors,878
deltona,"Daytona Beach, FL",FL_DBAAR,FL_DBAAR,Daytona Beach Area Association of REALTORSÂ¿Â¿ Multiple Listing Services,2744
deltona,"Daytona Beach, FL",FL_FCAR,FL_FCAR,Flagler County Association of Realtors,147
deltona,"Daytona Beach, FL",FL_NSB,FL_NSB,New Smyrna Beach Board of Realtors,1281
deltona,"Daytona Beach, FL",FL_SASJCBR,FL_SASJCBR,St. Augustine & St. Johns County Board of Realtors,7
deltona,"Daytona Beach, FL",FL_SPACE,Brevard MLS,Brevard MLS,55
deltona,"Daytona Beach, FL",JV,Flex MLS,"Northeast Florida MLS, Inc.",14
deltona,"Daytona Beach, FL",MFRMLS,MFRMLS,My Florida Regional MLS,606
deltona,"Daytona Beach, FL",RMLS,BMLS,Beaches MLS,5
decatur-in,"Decatur, IN",IN_LBAR,IN_LBAR,Indiana Regional MLS,97
decaturville-tn,"Decaturville, TN",MS_FCBR,MS_FCBR,Four County Board of Realtors,1
decaturville-tn,"Decaturville, TN",NASHVILLE,RealTracs,RealTracs,54
decaturville-tn,"Decaturville, TN",TN_CWTAR,TN_CWTAR,Central West Tennessee Association of Realtors,144
decaturville-tn,"Decaturville, TN",TN_MAAR,TN_MAAR,Memphis Area Association of REALTORS,45
delaware-county-ia,"Delaware County, IA",IA_CRAAR,IA_CRAAR,Cedar Rapids Area Association of Realtors,10
delaware-county-ia,"Delaware County, IA",IA_DBOR,IA_DBOR,East Central Iowa Association of REALTORSÂ®,48
delaware-county-ia,"Delaware County, IA",IA_NEIMLS,IA_NEIMLS,Iowa Northeast Regional Board of Realtors,48
delaware-county-ny,"Delaware County, NY",GHVMLS,HGMLS,"Hudson Gateway Multiple Listing Service, Inc.",7
delaware-county-ny,"Delaware County, NY",LI,LONGISLAND,Long Island MLS,0
delaware-county-ny,"Delaware County, NY",NY_CGND,NY_CGND,Columbia Greene Northern Dutchess Multiple Listing Service,7
delaware-county-ny,"Delaware County, NY",NY_GBAR,NY_GBAR,Greater Binghamton Association of Realtors,31
delaware-county-ny,"Delaware County, NY",NY_GCAR,NY_GCAR,Greater Capital Association of Realtors,6
delaware-county-ny,"Delaware County, NY",NY_MHMLS,NY_MHMLS,Mid Hudson Multiple Listing Service,0
delaware-county-ny,"Delaware County, NY",NY_MLSUC,NY_MLSUC,"Multiple Listing Service of Ulster County, Inc.",128
delaware-county-ny,"Delaware County, NY",NY_ODBR,NY_ODBR,Otsego-Delaware Board of REALTORS,624
delaware-county-ny,"Delaware County, NY",NY_SCMLS,NY_SCMLS,Sullivan County MLS,100
delaware-county-ny,"Delaware County, NY",PA_PWAR,PA_PWAR,Pike Wayne Board of Realtors,58
delaware-county-ok,"Delaware County, OK",AR_NWAR,AR_NWAR,Arkansas Regional MLS,139
delaware-county-ok,"Delaware County, OK",OK_NOBOR,OK_NOBOR,Northeast Oklahoma Board of REALTORSÂ®,552
delaware-county-ok,"Delaware County, OK",OK_NORES,OK_NORES,"Northeast Oklahoma Real Estate Services, Inc",82
delaware-county-ok,"Delaware County, OK",OK_OKC,MLSOK,MLSOK,3
delta-co,"Delta, CO",CO_CREN,CO_CREN,Colorado Real Estate Network,685
delta-co,"Delta, CO",ML,Metrolist,"METROLIST, INC., DBA RECOLORADO",3
deming-nm,"Deming, NM",NM_LCAR,NM_LCAR,Las Cruces Association of Realtors,23
deming-nm,"Deming, NM",NM_RANM,NM_RANM,Realtor Association of New Mexico,651
deming-nm,"Deming, NM",NM_SCRAR,NM_SCRAR,Silver City Regional Association of Realtors,8
deming-nm,"Deming, NM",NM_SWMLS,NM_SWMLS,Southwest Multiple Listing Service,2
denali-borough-ak,"Denali Borough, AK",AK_AMLS,AK_AMLS,Alaska Multiple Listing Service,17
denali-borough-ak,"Denali Borough, AK",AK_GFBOR,AK_GFBOR,Greater Fairbanks Board of Realtors,47
denver,"Denver, CO",BOULDER,BOULDER MLS,BOULDER MLS,628
denver,"Denver, CO",CO_CREN,CO_CREN,Colorado Real Estate Network,1
denver,"Denver, CO",CO_PPAR,CO_PPAR,Pikes Peak REALTOR&reg; Services Corp.,180
denver,"Denver, CO",CO_RGAR,CO_RGAR,"	Royal Gorge Association of Realtors",1
denver,"Denver, CO",CO_SAR,CO_SAR,Summit Association of REALTORSÂ®,1
denver,"Denver, CO",ML,Metrolist,"METROLIST, INC., DBA RECOLORADO",7563
des-moines-ia,"Des Moines, IA",IA_CIBR,IA_CIBR,Central Iowa Board of Realtors,114
